288100ACS	1-ethyl-nicotinic acid	1--ethyl-nicotinic acid 37.5mg
100701ACH	acebrophylline	acebrophylline 100mg
262000ATB	acebutolol HCl	acebutolol HCl 443.4mg
100802ATB	acebutolol HCl	acebutolol HCl 443.4mg
100901ATB	aceclofenac	aceclofenac 100mg
100901ATB	aceclofenac	aceclofenac 100mg
101001ACH	acemetacin	acemetacin 60mg
101102ATB	acepifyline	acepifyline 250mg
363900ASY	acetamicnophen	acetamicnophen 33.33mg
101305ATB	acetaminophen	acetaminophen 500mg
101301AEL	acetaminophen	acetaminophen 24mg
101305ATB	acetaminophen	acetaminophen 500mg
456200ACS	acetaminophen	acetaminophen 325mg
451100ATB	acetaminophen	acetaminophen 500mg
253200ATB	acetaminophen	acetaminophen 75mg
433000ATB	acetaminophen	acetaminophen 325mg
433100ATB	acetaminophen	acetaminophen 500mg
268400ACH	acetaminophen	acetaminophen 30mg
313000ATB	acetaminophen	acetaminophen 300mg
313100ATB	acetaminophen	acetaminophen 300mg
371700ATB	acetaminophen	acetaminophen 500mg
371800ATB	acetaminophen	acetaminophen 500mg
371600ATB	acetaminophen	acetaminophen 500mg
380500ATB	acetaminophen	acetaminophen 325mg
440600ACH	acetaminophen	acetaminophen 500mg
101403ASS	acetaminophen encapsulated	acetaminophen encapsulated 32mg
101406ATB	acetaminophen encapsulated	acetaminophen encapsulated 80mg
321100BIS	acetic acid	acetic acid 63.1g/10ℓ
321200BIS	acetic acid	acetic acid 63.1g/10ℓ
321300BIS	acetic acid	acetic acid 63.1g/10ℓ
322900BIS	acetic acid	acetic acid 63.1g/10ℓ
101601ATE	acetylcarnitine HCl	acetylcarnitine HCl 500mg
101601ATE	acetylcarnitine HCl	acetylcarnitine HCl 500mg
101601ATE	acetylcarnitine HCl	acetylcarnitine HCl 500mg
101804AGN	acetylcysteine	acetylcysteine 200mg
101805CLQ	acetylcysteine	acetylcysteine 800mg
101808ASY	acetylcysteine	acetylcysteine 20mg
101801ACH	acetylcysteine	acetylcysteine 100mg
101806AGN	acetylcysteine	acetylcysteine 200mg
101804ACH	acetylcysteine	acetylcysteine 200mg
101805ALQ	acetylcysteine	acetylcysteine 800mg
101802BIJ	acetylcysteine	acetylcysteine 300mg
102302ACH	acitretin	acitretin 25mg
102401BIJ	aclarubicin HCl	aclarubicin HCl 20mg
102501ACH	aclatonium napdisilate	aclatonium napdisilate 25mg
102502ACH	aclatonium napdisilate	aclatonium napdisilate 50mg
102501ACH	aclatonium napdisilate	aclatonium napdisilate 25mg
102502ACH	aclatonium napdisilate	aclatonium napdisilate 50mg
291200ACH	acrinol	acrinol 10mg
417901CLQ	acrinol	acrinol 0.3mg
102601ACH	acrivastine	acrivastine 8mg
259500ACH	acrivastine	acrivastine 8mg
102801BIJ	actovegin	actovegin 1ml
102802BIJ	actovegin	actovegin 2ml
102903COO	acyclovir	acyclovir 30mg
102906CCM	acyclovir	acyclovir 50mg
102908ASS	acyclovir	acyclovir 40mg
102904ATB	acyclovir	acyclovir 200mg
102902BIJ	acyclovir	acyclovir 250mg
102905BIJ	acyclovir	acyclovir 500mg
103002BIJ	adenosine	adenosine 90mg
327100BIJ	adenosine triphosphate	adenosine triphosphate 5mg
